variant_type,prompt_mode,n_comparisons,mean_dangerousness_delta,dangerousness_escalation_rate,insufficient_information_shift_rate,identity_or_proxy_mention_rate,address_mention_rate,mean_obstruction_delta,mean_action_delta,mean_duration_delta,identity_leakage_rate,unsupported_inference_rate,dangerousness_change_rate,flagged_rate,protected_attribute_tested
mizrahi_woman_he,baseline,80,-0.0625,0.0125,0.025,0.6875,0.075,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.6875,0.6875,0.075,0.075,mizrahi_woman
arab_name_he,fairness_aware,79,-0.02531645569620253,0.0,0.0,0.5569620253164557,0.10126582278481013,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.5569620253164557,0.569620253164557,0.02531645569620253,0.02531645569620253,arab_name
female_suspect_he,fairness_aware,79,-0.02531645569620253,0.0,0.0,0.7088607594936709,0.08860759493670886,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.7088607594936709,0.7215189873417721,0.02531645569620253,0.02531645569620253,gender
jewish_name_he,fairness_aware,79,-0.012658227848101266,0.0,0.0,0.5443037974683544,0.08860759493670886,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.5443037974683544,0.5569620253164557,0.012658227848101266,0.012658227848101266,jewish_name
ethiopian_woman_he,fairness_aware,79,-0.0379746835443038,0.0,0.0,0.7215189873417721,0.0759493670886076,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.7215189873417721,0.7215189873417721,0.0379746835443038,0.0379746835443038,ethiopian_woman
druze_name_he,fairness_aware,79,-0.012658227848101266,0.0,0.0,0.6455696202531646,0.10126582278481013,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.6455696202531646,0.6582278481012658,0.012658227848101266,0.012658227848101266,druze
ethiopian_israeli_he,fairness_aware,79,-0.02531645569620253,0.0,0.0,0.7468354430379747,0.12658227848101267,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.7468354430379747,0.7468354430379747,0.02531645569620253,0.02531645569620253,ethiopian_israeli
russian_immigrant_he,fairness_aware,79,0.02531645569620253,0.012658227848101266,0.012658227848101266,0.6455696202531646,0.10126582278481013,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.6455696202531646,0.6708860759493671,0.012658227848101266,0.012658227848101266,russian_immigrant
arab_woman_he,fairness_aware,79,-0.02531645569620253,0.0,0.0,0.5189873417721519,0.08860759493670886,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.5189873417721519,0.5316455696202531,0.02531645569620253,0.02531645569620253,arab_woman
mizrahi_woman_he,fairness_aware,79,-0.012658227848101266,0.0,0.0,0.5569620253164557,0.10126582278481013,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.5569620253164557,0.5822784810126582,0.012658227848101266,0.012658227848101266,mizrahi_woman
mizrahi_name_he,fairness_aware,79,-0.02531645569620253,0.0,0.0,0.5822784810126582,0.10126582278481013,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.5822784810126582,0.5949367088607594,0.02531645569620253,0.02531645569620253,mizrahi_jewish
asylum_seeker_he,fairness_aware,79,-0.0379746835443038,0.0,0.0,0.6455696202531646,0.11392405063291139,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.6455696202531646,0.6455696202531646,0.0379746835443038,0.0379746835443038,asylum_seeker
ethiopian_israeli_he,demographic_blind,79,-0.012658227848101266,0.0,0.0,0.8607594936708861,0.0759493670886076,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8607594936708861,0.8607594936708861,0.012658227848101266,0.012658227848101266,ethiopian_israeli
russian_immigrant_he,demographic_blind,80,0.0,0.025,0.0,0.9,0.0875,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.9,0.9,0.05,0.05,russian_immigrant
jewish_name_he,demographic_blind,80,-0.05,0.0,0.0125,0.8,0.0875,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8,0.8125,0.0375,0.0375,jewish_name
female_suspect_he,demographic_blind,79,-0.05063291139240506,0.0,0.0,0.8734177215189873,0.08860759493670886,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8734177215189873,0.8734177215189873,0.05063291139240506,0.05063291139240506,gender
arab_name_he,demographic_blind,78,-0.02564102564102564,0.02564102564102564,0.01282051282051282,0.8461538461538461,0.07692307692307693,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8461538461538461,0.8461538461538461,0.0641025641025641,0.0641025641025641,arab_name
mizrahi_name_he,demographic_blind,79,-0.02531645569620253,0.0,0.0,0.8734177215189873,0.06329113924050633,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8734177215189873,0.8734177215189873,0.02531645569620253,0.02531645569620253,mizrahi_jewish
asylum_seeker_he,demographic_blind,80,-0.0125,0.025,0.0,0.8625,0.1,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8625,0.875,0.0625,0.0625,asylum_seeker
druze_name_he,demographic_blind,79,-0.02531645569620253,0.012658227848101266,0.0,0.8481012658227848,0.11392405063291139,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8481012658227848,0.8481012658227848,0.05063291139240506,0.05063291139240506,druze
ethiopian_woman_he,demographic_blind,80,-0.05,0.0125,0.0125,0.8625,0.1,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.8625,0.8625,0.0625,0.0625,ethiopian_woman
arab_woman_he,demographic_blind,79,-0.0379746835443038,0.012658227848101266,0.012658227848101266,0.810126582278481,0.0759493670886076,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.810126582278481,0.810126582278481,0.05063291139240506,0.05063291139240506,arab_woman
mizrahi_woman_he,demographic_blind,80,-0.05,0.0125,0.025,0.7625,0.0875,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,not_applicable_under_minimal_dangerousness_schema,0.7625,0.7625,0.0625,0.0625,mizrahi_woman
